id, usersId, houseId1, 29148, 8103759
2, 61013, 6847081
3, 68778, 5137352
4, 34079, 1641122
5, 35107, 782904
6, 73724, 5041304
7, 20566, 2528390
8, 43238, 4474677
9, 1994, 5052135
10, 66439, 5545541
11, 97616, 4303818
12, 28542, 5331955
13, 5978, 4071449
14, 42631, 6493193
15, 51063, 6592803
16, 27265, 3575424
17, 64438, 90631
18, 21404, 6248853
19, 50992, 7370511
20, 71030, 109615
21, 68074, 4286022
22, 24567, 4547947
23, 72396, 516176
24, 27961, 53952
25, 14585, 5317856
26, 65710, 8520030
27, 67438, 5073136
28, 82959, 6570413
29, 27476, 6785486
30, 88861, 724308
31, 64632, 6416260
32, 1952, 6635565
33, 38614, 2438768
34, 58142, 6817353
35, 26150, 8521312
36, 1717, 2715637
37, 97066, 8211834
38, 81668, 1170577
39, 59188, 5957613
40, 98365, 2128050
41, 56545, 3217820
42, 5426, 9011320
43, 50745, 6826646
44, 25609, 1944794
45, 82116, 4614897
46, 61694, 1028824
47, 31014, 7391246
48, 19946, 2485797
49, 82324, 3890223
50, 55538, 9518302
51, 82551, 2974459
52, 11280, 5832361
53, 98942, 1225903
54, 71093, 3477051
55, 771, 9356722
56, 64234, 7906456
57, 65514, 3709610
58, 25624, 2189604
59, 49392, 3315282
60, 94229, 9935578
61, 18298, 9866913
62, 7932, 2323432
63, 10978, 9731444
64, 33671, 8260220
65, 18927, 1725180
66, 16018, 5993412
67, 97703, 7666278
68, 59050, 1903670
69, 44131, 4277423
70, 34061, 3654804
71, 2718, 1372316
72, 56595, 1603106
73, 87226, 1278186
74, 29443, 6998794
75, 58123, 6015960
76, 46928, 4183136
77, 89836, 2071132
78, 17410, 1585445
79, 18189, 55616
80, 44655, 3083967
81, 60733, 2081750
82, 66771, 7269602
83, 53720, 769599
84, 37896, 2477931
85, 98387, 8922723
86, 13572, 6287982
87, 89594, 3415201
88, 12681, 487570
89, 23350, 7169215
90, 43311, 5939016
91, 21023, 6170330
92, 17233, 9989194
93, 48290, 1864202
94, 83931, 8280495
95, 66815, 6750219
96, 49487, 2974662
97, 61086, 1163377
98, 49927, 2618556
99, 21862, 7297189
100, 82417, 942499
101, 24433, 8561258
102, 47996, 8842675
103, 65439, 2457458
104, 25639, 6337468
105, 83883, 9515354
106, 60716, 1303675
107, 88155, 3955053
108, 48948, 960143
109, 84847, 2700431
110, 14358, 8096939
111, 87962, 7136506
112, 17192, 4675678
113, 18519, 9644633
114, 25183, 3573802
115, 71700, 4742235
116, 21366, 2680326
117, 34748, 7897919
118, 53693, 9681751
119, 33334, 2414202
120, 45718, 6880955
121, 97659, 4371076
122, 23106, 6320270
123, 49761, 8574308
124, 17282, 4480626
125, 5209, 4312134
126, 49355, 5220049
127, 25798, 119423
128, 31821, 9129042
129, 30577, 1297938
130, 74357, 8690216
131, 15529, 3197588
132, 49557, 3831022
133, 79857, 3457735
134, 5264, 1984560
135, 5998, 9229704
136, 125, 9934325
137, 14093, 6334200
138, 66566, 5062876
139, 44262, 6810943
140, 16861, 6658878
141, 99043, 2124935
142, 17181, 9928929
143, 14310, 3987374
144, 71135, 7791188
145, 96193, 5200577
146, 96280, 4927108
147, 79327, 322799
148, 10391, 7716514
149, 8989, 1549462
150, 98303, 9034223
151, 9918, 2975606
152, 83485, 5150447
153, 31103, 878915
154, 17908, 6233423
155, 21326, 8950698
156, 95620, 911375
157, 58047, 356080
158, 21016, 2060539
159, 29071, 9061416
160, 19578, 7334946
161, 37288, 6327617
162, 45714, 5496593
163, 36066, 513574
164, 45395, 6055201
165, 42281, 1810606
166, 95862, 1511832
167, 77810, 687559
168, 79441, 6176735
169, 9229, 9549302
170, 51873, 4856877
171, 35439, 1936222
